"customer_id","first_name","last_name","email","phone","address","join_date"
"1","Rajesh","Sharma","rajesh.sharma@example.com","9876543210","123 MG Road, Mumbai, Maharashtra","2023-01-15"
"2","Priya","Agarwal","priya.agarwal@example.com","9812345678","56 Indiranagar, Bangalore, Karnataka","2023-02-20"
"3","Amit","Patel","amit.patel@example.com","9823456789","789 Ellisbridge, Ahmedabad, Gujarat","2023-03-05"
"4","Sonal","Desai","sonal.desai@example.com","9845678901","101 Church Street, Kolkata, West Bengal","2023-04-10"
"5","Vikram","Mehta","vikram.mehta@example.com","9856789012","50 Marina Beach Road, Chennai, Tamil Nadu","2023-05-12"
"6","Anjali","Gupta","anjali.gupta@example.com","9867890123","202 Banjara Hills, Hyderabad, Telangana","2023-06-18"
"7","Rohan","Singh","rohan.singh@example.com","9878901234","55 Sector 18, Noida, Uttar Pradesh","2023-07-25"
"8","Kiran","Joshi","kiran.joshi@example.com","9889012345","88 R.K. Puram, New Delhi, Delhi","2023-08-14"
"9","Pooja","Naik","pooja.naik@example.com","9890123456","66 Patto Plaza, Panaji, Goa","2023-09-09"
"10","Bhola","Kumar","kumarbhola@example.com","9901234567","74 Civil Lines, Jaipur, Rajasthan","2023-07-17"
"order_id","customer_id","order_date","total_amount","order_status"
"1","1","2024-12-27","15999.00","Shipped"
"2","2","2024-11-20","54999.00","Pending"
"3","3","2024-11-30","4599.00","Shipped"
"4","4","2024-11-16","29999.00","Delivered"
"5","5","2024-12-05","9999.00","Pending"
"6","6","2024-12-23","85999.00","Shipped"
"7","7","2024-12-01","2299.00","Cancelled"
"8","8","2024-12-09","69999.00","Delivered"
"9","9","2024-12-01","20.00","Delivered"
"10","10","2024-11-23","3499.00","Pending"
"order_detail_id","order_id","product_id","quantity","unit_price"
"1","1","1","1","69999.00"
"2","2","2","1","58999.00"
"3","3","3","2","4599.00"
"4","4","5","1","29999.00"
"5","5","6","1","9999.00"
"6","6","7","1","85999.00"
"7","7","10","2","2299.00"
"8","8","1","1","69999.00"
"9","9","9","5","20.00"
"10","10","4","1","3499.00"
"payment_id","order_id","payment_date","payment_amount","payment_method"
"1","1","2024-01-11","15999.00","Credit Card"
"2","2","2024-01-16","54999.00","UPI"
"3","3","2024-01-21","9198.00","Debit Card"
"4","4","2024-01-26","29999.00","Credit Card"
"5","5","2024-02-02","9999.00","PayPal"
"6","6","2024-02-06","85999.00","Net Banking"
"7","7","2024-02-11","4598.00","UPI"
"8","8","2024-02-16","69999.00","Credit Card"
"9","9","2024-02-21","100.00","Cash"
"10","10","2024-02-26","3499.00","Debit Card"
"product_id","product_name","category","price","stock_quantity"
"1","Samsung Galaxy S21","Electronics","69999.00","50"
"2","Mi Notebook Pro","Electronics","58999.00","30"
"3","Adidas Running Shoes","Footwear","4599.00","75"
"4","Levi’s Denim Jeans","Apparel","3499.00","100"
"5","Sony WH-1000XM4 Headphones","Electronics","29999.00","25"
"6","Ray-Ban Sunglasses","Accessories","9999.00","60"
"7","LG Smart Refrigerator","Home Appliances","85999.00","10"
"8","Apple iPad Air","Electronics","54999.00","20"
"9","Himalayan Mineral Water","Beverages","20.00","200"
"10","Bajaj Ceiling Fan","Home Appliances","2299.00","40"
